barcode,name,cost,sell
8690566507857,زبده اونا بالقشطه 200غ ONA,660,750
8682205455100,حمص حب بودرن 380g,458,750
9874578874485,كشمش كيلوات EMAD SALLY,3777,4000
6337101691030,تايكر اسبي رش 330مل,395,500
619185647605,برغل خشن 500غ داس,525,750
633710172554,صابون الوزير علبه 4قطع wazir,1366,1750
8697416468498,ككو الوال مونتريال MONTREAL,194,250
6972919087035,فرشه اسنان دكتور gooral,833,1000
8700417217924,بزاليا و الجزر التونسا 400غ معدني,792,1000
6974975770166,فطر كامل الطازج زجاجي 530مل,1716,2000
8683420538067,صبغ لوزينا الطباخ 15غ مشكل,825,1000
8690506517922,صابون دورو 160غ مشكل DURU,500,1000
6471296347515,جرزات مقرمش MACAW مشكل,166,250
8699037090607,جبن بيتزا مرسين 250غ ازرق,2893,3250
80177609,كندر الواح 50غرام,1075,1250
6253804982896,كرواسون اليوم bonjour,200,250
8680417200655,سمك تونا التونسا 160غ مشكل,1416,1750
4820107355942,شاورما دجاج كواليكو 2.5كغم,11500,12500
6291003003202,كريمز 80غ creams مشكل,222,250
8002617001281,شعريه 3كغ الديك بختياري,3000,3500
8695280312305,ريد سترونك 355مل دبل مشكل red,395,500
8683324602062,صابون تركي 80غرام CITRUSA مشكل,146,200
6263287700207,معكرونه سنا كيس 500غ مشكل,708,1000
6973276843029,كف مطبخ طويل وردي,850,1500
165300300380031,درزن سكاكين صغير knife,500,750
7212453561608,عسل الرحمه 80غ صغير,195,500
8005533010504,عصير اطفال ترنكيتو 70مل trinketto,223,250
6253363802925,حبيبات دانيه 180مل صغير,214,250
6263541400553,جبنه سليمانيه 100غرام دائري مشكل,465,500
140788141501652625,معجون طماطه 820غ lAZZAT,1312,1750
8697924593927,حفاضات كونفي بيبي كافه الاحجام confy,5450,6000
8697480063483,طحين بشلر 900g كيس,925,1250
8680417212900,سباكيتي التونسا 500غرام,450,750
8697449904307,حليب محمود اكياس 300غ,2166,2500
8697449918779,ماجي دجاج التونسا كيس 10g,791,1000
6566324014504,سفره سفري ماهان 1600 كبير,1666,2000
6260128707869,كيك شيرين عسل ازرا اصفر azra,84,125
12,ليمندوزي 25كغم كيلوات فل,680,1000
0161310054760031,صوصج دجاج 300غ بريوت,875,1000
8683420542804,حامض ليمون الطباخ 1لتر,583,1000
140788141501652762,صمغ بخاخ اخضر 100مل عادي,312,1000
4609036225560,عود اسنان خشبي,375,500
9874578874486,صابون مواعين فل,340,500
6253504116249,معطر ملابس توري 700مل,1583,1750
8683077752045,معطر خزانه ملابس تعلاكه مشكل,500,1000
8693298010893,لوز طبخ 100غ كيس aydin ابيض,1550,2000
2870037004504,حواصل 450غ bupilic,650,1000
6260687301621,جبنة بالقشطة صباح 350غ,1000,1250
8936190135395,عصير طبيعي قوطيه AFRICO,791,1000
6263541401574,جبنه القشطه سليمانيه 50غ ملربع,218,250
6251044000752,جبس ليز كبير مشكل,834,1000
8690526614083,كراكس اصابع  45غ فلفل حار CRAX,219,250
8006540828267,اولويز جامبو نهاري وليلي مشكل دبل,3833,4500
4823116823051,جناح كواليكو 2كغم كيس,7720,9000
8681407008190,شامبو الشعر المصبوغ 600مل Lia zer,1125,1750
655729341431,شعريه 500غ الديك بختياري,574,750
8698995511971,ذره صفراء 500غ نورس,650,750
9874578874491,املاح الباديه كيس اصفر كبير,800,1000
8697438110818,كيس شوي porton roasting,490,750
8690526018874,بسكويت ويفر بكريما البندق 50 غ داريلو  darelo eti,449,500
6263287700160,سباكيتي سنا 500غرام,750,1000
8697422633668,دبس رمان زير 345غ,812,1000
165300300380030,سكر الاتحاد كيس 25كغم,19000,20000
8693541019482,خل البدوي 750مل صغير مشكل,825,1000
8697449903492,خمره التونسا 125غ صغير,555,1000
140788141501652650,فاصوليا النسر الذهبي 450غ,1650,1750
8699969122308,بهارات كولى روز باكيت مشكل,550,750
8697449909920,جريش التونسا 600غ,600,1000
8680923201214,زبدة نباتيه الرحمه 200غ,350,500
8681820101027,لحم الطازج 340غ معدني,1750,2000
43878215,قاصر صحت 750مل اصلي,500,1000
8697420950774,ماسحه زجاج بلاستك مع اسفنجه,1458,2000
6281100329183,عصير ميزو عائلي 900مل,833,1000
8888196125323,حليب بوكا 240مل  milk pokka مشكل,900,1000
6291105418089,معجون طماطم خيام 800غ,1527,2000
140788141501652731,صدر دجاج كواليكو 2كغم *6,10000,11000
6291003206139,تيم اب 20غ كاكاو,109,125
8680400900845,تايت هس 4.5كغم اوتماتيك مشكل HES,5625,6000
8680417217875,صابون ليلوس 100غ مشكل LiLus,264,333
6974975770159,فطر مقطع الطازج زجاجي 530مل,1716,2000
8683420535585,محسن الكيك بالفانيلا 45غ الطباخ,850,1000
8690526018690,شوكلاته بندق 17غ Adicto,437,500
750123569914,لبن خيرات اربيل بطل صغير,166,250
729927750088,عصير مزاج زجاجي 330مل mazaj,395,500
8697449908886,مايونيز التونسا 430غرام,1208,1500
8697449908145,حليب التونسا 300غرام كيس,1958,2250
6262004909541,صلصه مشكل كاله 450غ,1958,2250
9874578874502,بخور بزونه اخضر ميرو,375,500
9504000332013,سكر الاتحاد 10كغم كيس,8333,11000
6497549450092,صودا فريندو frindo 200ml,354,500
8694587113226,شربت تريكس مسحوق TRIX KENT,59,100
8680400901408,مزيل كلس غسالات ملابس 500غ HES,1709,2000
6260161548733,جبن مارغاريتا للبيتزا 180غرام كيس,1300,1500
4441001547785,ملمع  ميار mayar بخاخ,750,1000
9501101941816,بركر دجاج بوادي 450غ باكيت,2770,3000
6291003204999,بك بريك 28غ bigbreak,218,250
6253504115716,صابون لميس علبه 4قطع lamis,2458,2750
6269469200879,حليب مكثف البحر 380غ,875,1000
6253804982674,بسكت اليوم مشكل,198,250
6253504117512,عطر لميس 900مل lamis,2125,2500
6212558011153,ماء اكوافينا 12بطل,125,250
6260161526281,جبنه بالقشطه كاله 100غ,410,500
8683420544891,مايونيز الطباخ بطل 500غ,1041,1500
8681282303465,لحم لانشو دجاج بودرون 800g,1416,2000
9501101940697,قلوب دجاج 450غ بوادي,944,1500
140788141501652631,لحيم اميري power,93,250
1457887896551,تمور منزوعة النوى 450غ الرحمه,875,1000
8697456422283,قهوه قواطي برازيلي BRAZILIAN,687,1000
8699969123176,دبس رمان الشافي 350مل,344,750
633710172493,ديتول الوزير 500مل شفاف,500,1000
8683420544587,عنبه الطباخ 350غ بطل,375,500
8697422638700,ماجي بقر 10g زير اكياس,875,1000
8683420530221,هيل كامل ومطحون الطباخ 25غ,2225,2500
8683749024159,جلي بولونات 70غ كيس bonart,430,500
8694587136522,جلي مشكل 85غ Kent jelly *12,500,750
6253803255137,معطر متعدد الاستعمالات الوزير شفاف,1416,1750
140788141501652701,كيك سندويش الاسره مشكل,437,500
6974122721379,كريم مرطب ازرق viva nova,1250,1750
140788141501652789,تيب شفاف عريض 40يارده,416,1000
6262780303144,فلفل مخلل زجاجي سوزنى,666,1000
8697449908732,كتشاب التونسا 520غرام مشكل,875,1000
6291003087356,ميلك مان 13غرام milkman,105,250
9504000266226,زاهي هانا 100مل مشكل,625,750
8699243690998,جل اريضيات ايلوكس 900غ,2000,2500
4546895256994,جبنه كريم الوطنيه مشكل 75غ,219,250
8680400900357,قاصر ملابس ملون هس 900غ HES,1292,1500
6211044902487,كوكيز جوز هند صباح جنتي 24ق,198,250
8850124074553,coffee mate مبيض كيس 1كيلو,5166,6000
6251035001034,قهوه كوفي بريك 200g زجاجي,4583,5000
8680400900166,هس باور بخاخ اصفر 1كغم,2250,2500
6271002110514,قشطه قيمر كبير,833,1000
565643206856,صلصه حاره الطازج 473مل زجاجي كبير,841,1000
9504000291785,عصير راني 250مل RANI  زجاجي,407,500
8697422639684,ماجي دجاج زير اكياس,875,1000
6260161525758,شوكولاته 80غ كاله Dessert,220,250
6281020172456,قهوه مثلجة لونا,875,1000
5775345139429,عصير سنكويك زجاجي دبل 840غ  sunquick,6083,6500
6260406231123,شيرين وطن 30غ shirin vatan,83,125
8906057390205,معجون حلاقه مشكل باكيت,833,1500
6260003116229,بسكت مادر كيس صغير 70غ,194,250
6908600100059,قرص تواليت ملون كبير,1666,2000
8000700000005,صابون دوف 90غ,750,1000
8935001721529,علك مينتوكس mentos اصلي,417,500
7070707071026,زاهي ضاغطه فايموس famous,2833,3500
8682134080046,ايسكريم شوكلاته ديبو مشكل,222,250
6251091062017,شنينه الوطنيه 250مل مشكل,207,250
8681644460911,كلنس مرطب 90عدد lemsa مشكل,542,1000
140788141501652799,بوب كيك عرض خاص مشكل,4166,5000
6214960605043,اصابع كاكاو بركات vault 34g,218,250
6291003092497,بريكستا 26غ,219,250
8699965894940,بهارات ئالين مشكل ALEN,675,1000
6221155132581,غسول جسم  500 مل  lux,3000,3500
8683420530689,قرنفل مسمار الطباخ 40غ,1200,1500
8934673622318,حليب ديالاك احمر 2 صغير 400غ,5625,6000
6253803251405,جل معطر عام عملاق مشكل الوزير POWERFUL,1437,2000
6212208361010,شراب روك ستار 250مل قوطيه,208,250
6217469523795,طرشي الشفاء 1كغم مشكل,2333,3000
8906055703656,شاي الخان دبه 500غ,3438,4000
6084012090444,جبنة كرافت 100غ kraft علبة دائرية,1266,1500
8683420535578,نكهه وعطر الشاي الطباخ 25غ باكيت,825,1000
054881000482,شاي احمد 400غ كيس,3500,3750
91191129162030,حليب محمود كيلوات,4280,5000
140788141501652775,عصير نيتوس زجاجي netos 330ml,375,500
4823116833593,شاورما كص كواليكو 200غ باكيت,2018,2500
9504000291006,عصير قيميتو 710مل زجاجي,3833,4500
6291003022982,بسكويت بونيتو 18غ bonito,109,125
911911262037,ماسحه ريموند 65حجم اصلي كبير,1375,2000
91191129162033,فستق طبخ كيلوات,2280,4000
9504000211639,حبيبات فريش صغير قوطيه,197,250
6260161402639,بازلاء خضراء مجمد 100غ بمينا,1500,1750
140788141501652776,فازلين ازرق صغير petroleum,625,1000
6261122100472,معجون طماطه شابهار 680غ زجاجي,875,1250
6261670801807,بطل طفل بلاسك صغير 125مل,625,1000
8691707062471,امادا بريك 20غ مشكل,218,250
4823116826441,اصابع دجاج مقرمش 700غ كواليكو,3571,4000
8006540828274,حفاضات اولويز نهاري دبل always,2281,2500
6956135914023,صابون ديتول مشكل Getoal,417,750
8680417217561,اقراص غسل الاطباق ليلوس 12ق lilus,3000,3500
8697924592326,دهن التونسا 4لتر سطل مشكل,8925,10000
8697924591404,دبس رمان التونسا 345غ,584,1000
140788141501652623,كيس نفايات فل اسود كبير,150,250
6291003013126,بسكويت جوتشا 30غ gotcha  مشكل,108,125
8697449910957,معجون التونسا 400g قوطيه,950,1000
26713998400,دبس دمعه صغير بلاستك,770,1000
8681863043957,كيك جيكولاكس بزبز cikolax,208,250
6260004636337,شطه زجاجي صغير Reohot,263,500
7702018466979,جوليت الاصلي 14قطعه كيس,4250,5000
9504000291266,عصير راني 1لتر عائلي,833,1000
50113211089,شامبو هيدر شولدرس 400مل عادي,3500,3500
5351008107013,قشطه الوطنيه 100غ مشكل,416,500
8691066232034,بسكويت 30غ هيو بالكاكاو heyo,210,250
8690526055657,نستله كاكا wafeup 29g,408,500
9874578874483,تمن بختياري ذهب كيس 4.5كغم,7200,8000
6271003014019,طحين فاخر 1كغم صغير اصلي,1900,2250
8699243691278,ساءل ملون منظف للغسيل 900مل ايلوكس,1334,1500
54485549,رصيد اسيا 100.000,100400,104000
91191162025,رصيد اسيا 35.000,35250,36000
9874578874487,صابون حلبي فل اخضر واصفر مشكل,500,750
2639684,رصيد زين 35.000,35500,36500
140788141501652642,سكر سعر الكيلو,850,1250
8680972474027,جبن موزريلا مبشوره 200غ مرسين بلم,2416,2750
140788141501652689,دجاج بوادي 1100كغم,4235,5000
8682048480314,حفاضات هلا بيبي مشكل,2920,3250
6260161460202,ناجت الدجاج 240غ 11ق بمينا,1792,2000
6437659902203,دبس دمعه الشام صغير,1041,1500
02112بي,رصيد اسيا 50.000,50500,52000
6262004910332,كاتشب كاله مشكل 330غرام,771,1000
8680417216922,زيت زيتون التونسا 250مل,1791,2000
8691796000569,ويفر عائلي بزبزه 400غ مشكل bizbize,1750,2000
140788141501652739,رصيد زين 30.000,30150,32000
041833001000,صابون روز rose soap,750,1000
4015400781882,حفاضات اولويز ليلي دبل always,2156,2500
5645015321051,خل جوكر 473مل مشكل,792,1000
4417011120010,جل ميار 1000غ سطل البيك mayar,1250,1500
6254000299016,دبس عسل التمر كربلاء قواطي اصلي,2291,2500
03019933,رصيد زين 100.000,101000,104000
8680417214232,تمن محمود 4.5كغم كيس شفاف,7437,8000
9501101944596,همبركر بوادي كيس 4قطع,875,1500
140788141501652761,فازلين وسيم اخضر,291,750
8693298010886,لب لوز اسود 100غ كيس AYDIN,1525,2000
8697449908497,حليب محمود 900غرام معدني,7500,8000
8997220601655,صابون ليكسي 150غ Lexi,599,750
86012319,رصيد زين 50.000,50500,53000
8681893006304,كفوف ماكروماكس مشكل,1750,2000
2162210167080168,بطل طفل بلاستك كبير 240مل,708,1500
6281062120958,حبيبات خوخ دانيه 185مل,220,250
6260161537287,جبنه بالقشطه ويلي 100غ,600,750
6260161533814,لبن دوغ 250مل صغير كاله,180,250
86834205363155,كريم شانتي الطباخ مشكل 140غ,791,1000
8697449903508,خمره التونسا 450غ تركي,2100,2500
633710165167,جل معطر عام العملاق الاصلي,791,1250
625113408,رصيد زين 40.000,40500,42000
8906000950050,هيل 250غ صن اسمايل فل,1400,2000
735380043711,فطر مقطع ادام ADAM,791,1000
8691066410036,تايم اب 30غ مشكل,215,250
6820223100608,دفتر 60 ورقه مشكل,236,500
4607084352054,جوكو باي 180غ choco pie مشكل,1562,2000
6260161403827,خضراوات مشكله بزاليا وبطاطا وجزر 400غ كيس,1100,1500
7777,اكياس نايلون سفري روله,666,1000
6253504114023,صابون توري 70غ مشكل,285,333
6281105121003,تمن اريز 4.5كغ كيس كبير areez,8312,8500
911162026,رصيد اسيا 40.000,40260,42000
6261988651552,سلفون طباخ سيما 80,750,1000
6260118140331,كيك زوريتا zarvita مشكل,90,125
6287024551723,صلصه ريزو بيدر مشكل 470غ,2833,3000
8683420544938,صلصه ريزو كلاسيك 425غ,1250,1500
